Celsius        |     Fahrenheit
-300.00        |        -508.00
-299.00        |        -506.20
-298.00        |        -504.40
-297.00        |        -502.60
-296.00        |        -500.80
-295.00        |        -499.00
-294.00        |        -497.20
-293.00        |        -495.40
-292.00        |        -493.60
-291.00        |        -491.80
-290.00        |        -490.00
-289.00        |        -488.20
-288.00        |        -486.40
-287.00        |        -484.60
-286.00        |        -482.80
-285.00        |        -481.00
-284.00        |        -479.20
-283.00        |        -477.40
-282.00        |        -475.60
-281.00        |        -473.80
-280.00        |        -472.00
-279.00        |        -470.20
-278.00        |        -468.40
-277.00        |        -466.60
-276.00        |        -464.80
-275.00        |        -463.00
-274.00        |        -461.20
-273.00        |        -459.40
-272.00        |        -457.60
-271.00        |        -455.80
-270.00        |        -454.00
-269.00        |        -452.20
-268.00        |        -450.40
-267.00        |        -448.60
-266.00        |        -446.80
-265.00        |        -445.00
-264.00        |        -443.20
-263.00        |        -441.40
-262.00        |        -439.60
-261.00        |        -437.80
-260.00        |        -436.00
-259.00        |        -434.20
-258.00        |        -432.40
-257.00        |        -430.60
-256.00        |        -428.80
-255.00        |        -427.00
-254.00        |        -425.20
-253.00        |        -423.40
-252.00        |        -421.60
-251.00        |        -419.80
-250.00        |        -418.00
-249.00        |        -416.20
-248.00        |        -414.40
-247.00        |        -412.60
-246.00        |        -410.80
-245.00        |        -409.00
-244.00        |        -407.20
-243.00        |        -405.40
-242.00        |        -403.60
-241.00        |        -401.80
-240.00        |        -400.00
-239.00        |        -398.20
-238.00        |        -396.40
-237.00        |        -394.60
-236.00        |        -392.80
-235.00        |        -391.00
-234.00        |        -389.20
-233.00        |        -387.40
-232.00        |        -385.60
-231.00        |        -383.80
-230.00        |        -382.00
-229.00        |        -380.20
-228.00        |        -378.40
-227.00        |        -376.60
-226.00        |        -374.80
-225.00        |        -373.00
-224.00        |        -371.20
-223.00        |        -369.40
-222.00        |        -367.60
-221.00        |        -365.80
-220.00        |        -364.00
-219.00        |        -362.20
-218.00        |        -360.40
-217.00        |        -358.60
-216.00        |        -356.80
-215.00        |        -355.00
-214.00        |        -353.20
-213.00        |        -351.40
-212.00        |        -349.60
-211.00        |        -347.80
-210.00        |        -346.00
-209.00        |        -344.20
-208.00        |        -342.40
-207.00        |        -340.60
-206.00        |        -338.80
-205.00        |        -337.00
-204.00        |        -335.20
-203.00        |        -333.40
-202.00        |        -331.60
-201.00        |        -329.80
-200.00        |        -328.00
-199.00        |        -326.20
-198.00        |        -324.40
-197.00        |        -322.60
-196.00        |        -320.80
-195.00        |        -319.00
-194.00        |        -317.20
-193.00        |        -315.40
-192.00        |        -313.60
-191.00        |        -311.80
-190.00        |        -310.00
-189.00        |        -308.20
-188.00        |        -306.40
-187.00        |        -304.60
-186.00        |        -302.80
-185.00        |        -301.00
-184.00        |        -299.20
-183.00        |        -297.40
-182.00        |        -295.60
-181.00        |        -293.80
-180.00        |        -292.00
-179.00        |        -290.20
-178.00        |        -288.40
-177.00        |        -286.60
-176.00        |        -284.80
-175.00        |        -283.00
-174.00        |        -281.20
-173.00        |        -279.40
-172.00        |        -277.60
-171.00        |        -275.80
-170.00        |        -274.00
-169.00        |        -272.20
-168.00        |        -270.40
-167.00        |        -268.60
-166.00        |        -266.80
-165.00        |        -265.00
-164.00        |        -263.20
-163.00        |        -261.40
-162.00        |        -259.60
-161.00        |        -257.80
-160.00        |        -256.00
-159.00        |        -254.20
-158.00        |        -252.40
-157.00        |        -250.60
-156.00        |        -248.80
-155.00        |        -247.00
-154.00        |        -245.20
-153.00        |        -243.40
-152.00        |        -241.60
-151.00        |        -239.80
-150.00        |        -238.00
-149.00        |        -236.20
-148.00        |        -234.40
-147.00        |        -232.60
-146.00        |        -230.80
-145.00        |        -229.00
-144.00        |        -227.20
-143.00        |        -225.40
-142.00        |        -223.60
-141.00        |        -221.80
-140.00        |        -220.00
-139.00        |        -218.20
-138.00        |        -216.40
-137.00        |        -214.60
-136.00        |        -212.80
-135.00        |        -211.00
-134.00        |        -209.20
-133.00        |        -207.40
-132.00        |        -205.60
-131.00        |        -203.80
-130.00        |        -202.00
-129.00        |        -200.20
-128.00        |        -198.40
-127.00        |        -196.60
-126.00        |        -194.80
-125.00        |        -193.00
-124.00        |        -191.20
-123.00        |        -189.40
-122.00        |        -187.60
-121.00        |        -185.80
-120.00        |        -184.00
-119.00        |        -182.20
-118.00        |        -180.40
-117.00        |        -178.60
-116.00        |        -176.80
-115.00        |        -175.00
-114.00        |        -173.20
-113.00        |        -171.40
-112.00        |        -169.60
-111.00        |        -167.80
-110.00        |        -166.00
-109.00        |        -164.20
-108.00        |        -162.40
-107.00        |        -160.60
-106.00        |        -158.80
-105.00        |        -157.00
-104.00        |        -155.20
-103.00        |        -153.40
-102.00        |        -151.60
-101.00        |        -149.80
-100.00        |        -148.00
-99.00         |        -146.20
-98.00         |        -144.40
-97.00         |        -142.60
-96.00         |        -140.80
-95.00         |        -139.00
-94.00         |        -137.20
-93.00         |        -135.40
-92.00         |        -133.60
-91.00         |        -131.80
-90.00         |        -130.00
-89.00         |        -128.20
-88.00         |        -126.40
-87.00         |        -124.60
-86.00         |        -122.80
-85.00         |        -121.00
-84.00         |        -119.20
-83.00         |        -117.40
-82.00         |        -115.60
-81.00         |        -113.80
-80.00         |        -112.00
-79.00         |        -110.20
-78.00         |        -108.40
-77.00         |        -106.60
-76.00         |        -104.80
-75.00         |        -103.00
-74.00         |        -101.20
-73.00         |         -99.40
-72.00         |         -97.60
-71.00         |         -95.80
-70.00         |         -94.00
-69.00         |         -92.20
-68.00         |         -90.40
-67.00         |         -88.60
-66.00         |         -86.80
-65.00         |         -85.00
-64.00         |         -83.20
-63.00         |         -81.40
-62.00         |         -79.60
-61.00         |         -77.80
-60.00         |         -76.00
-59.00         |         -74.20
-58.00         |         -72.40
-57.00         |         -70.60
-56.00         |         -68.80
-55.00         |         -67.00
-54.00         |         -65.20
-53.00         |         -63.40
-52.00         |         -61.60
-51.00         |         -59.80
-50.00         |         -58.00
-49.00         |         -56.20
-48.00         |         -54.40
-47.00         |         -52.60
-46.00         |         -50.80
-45.00         |         -49.00
-44.00         |         -47.20
-43.00         |         -45.40
-42.00         |         -43.60
-41.00         |         -41.80
-40.00         |         -40.00
-39.00         |         -38.20
-38.00         |         -36.40
-37.00         |         -34.60
-36.00         |         -32.80
-35.00         |         -31.00
-34.00         |         -29.20
-33.00         |         -27.40
-32.00         |         -25.60
-31.00         |         -23.80
-30.00         |         -22.00
-29.00         |         -20.20
-28.00         |         -18.40
-27.00         |         -16.60
-26.00         |         -14.80
-25.00         |         -13.00
-24.00         |         -11.20
-23.00         |          -9.40
-22.00         |          -7.60
-21.00         |          -5.80
-20.00         |          -4.00
-19.00         |          -2.20
-18.00         |          -0.40
-17.00         |           1.40
-16.00         |           3.20
-15.00         |           5.00
-14.00         |           6.80
-13.00         |           8.60
-12.00         |          10.40
-11.00         |          12.20
-10.00         |          14.00
-9.00          |          15.80
-8.00          |          17.60
-7.00          |          19.40
-6.00          |          21.20
-5.00          |          23.00
-4.00          |          24.80
-3.00          |          26.60
-2.00          |          28.40
-1.00          |          30.20
0.00           |          32.00
1.00           |          33.80
2.00           |          35.60
3.00           |          37.40
4.00           |          39.20
5.00           |          41.00
6.00           |          42.80
7.00           |          44.60
8.00           |          46.40
9.00           |          48.20
10.00          |          50.00
11.00          |          51.80
12.00          |          53.60
13.00          |          55.40
14.00          |          57.20
15.00          |          59.00
16.00          |          60.80
17.00          |          62.60
18.00          |          64.40
19.00          |          66.20
20.00          |          68.00
21.00          |          69.80
22.00          |          71.60
23.00          |          73.40
24.00          |          75.20
25.00          |          77.00
26.00          |          78.80
27.00          |          80.60
28.00          |          82.40
29.00          |          84.20
30.00          |          86.00
31.00          |          87.80
32.00          |          89.60
33.00          |          91.40
34.00          |          93.20
35.00          |          95.00
36.00          |          96.80
37.00          |          98.60
38.00          |         100.40
39.00          |         102.20
40.00          |         104.00
41.00          |         105.80
42.00          |         107.60
43.00          |         109.40
44.00          |         111.20
45.00          |         113.00
46.00          |         114.80
47.00          |         116.60
48.00          |         118.40
49.00          |         120.20
50.00          |         122.00
51.00          |         123.80
52.00          |         125.60
53.00          |         127.40
54.00          |         129.20
55.00          |         131.00
56.00          |         132.80
57.00          |         134.60
58.00          |         136.40
59.00          |         138.20
60.00          |         140.00
61.00          |         141.80
62.00          |         143.60
63.00          |         145.40
64.00          |         147.20
65.00          |         149.00
66.00          |         150.80
67.00          |         152.60
68.00          |         154.40
69.00          |         156.20
70.00          |         158.00
71.00          |         159.80
72.00          |         161.60
73.00          |         163.40
74.00          |         165.20
75.00          |         167.00
76.00          |         168.80
77.00          |         170.60
78.00          |         172.40
79.00          |         174.20
80.00          |         176.00
81.00          |         177.80
82.00          |         179.60
83.00          |         181.40
84.00          |         183.20
85.00          |         185.00
86.00          |         186.80
87.00          |         188.60
88.00          |         190.40
89.00          |         192.20
90.00          |         194.00
91.00          |         195.80
92.00          |         197.60
93.00          |         199.40
94.00          |         201.20
95.00          |         203.00
96.00          |         204.80
97.00          |         206.60
98.00          |         208.40
99.00          |         210.20
100.00         |         212.00
101.00         |         213.80
102.00         |         215.60
103.00         |         217.40
104.00         |         219.20
105.00         |         221.00
106.00         |         222.80
107.00         |         224.60
